[0m[ INFO] [1783240828.630340314]: Mower SN: HL-G-0001[0m
[2026-07-05 17:20:51] 当前点: 8.67531 -12.5403 -1.53806
[2026-07-05 17:20:51] 当前点: 8.6878 -12.7528 -1.646
[2026-07-05 17:20:51] 当前点: 8.67331 -12.888 -1.71805
[2026-07-05 17:20:51] 当前点: 8.65878 -13.0276 -1.78939
[2026-07-05 17:20:51] 当前点: 8.61739 -13.1588 -1.86298
[2026-07-05 17:20:51] 当前点: 8.58331 -13.2946 -1.9349
[2026-07-05 17:20:51] 当前点: 8.51588 -13.4291 -1.99685
[2026-07-05 17:20:51] 当前点: 8.4625 -13.5564 -2.05148
[2026-07-05 17:20:51] 当前点: 8.39315 -13.6709 -2.08825
[2026-07-05 17:20:51] 当前点: 8.31876 -13.7881 -2.08015
[2026-07-05 17:20:52] 当前点: 8.24683 -13.9055 -2.08652
[2026-07-05 17:20:52] 当前点: 8.14623 -14.079 -2.07456
[2026-07-05 17:20:52] 当前点: 8.11565 -14.1421 -2.07668
[2026-07-05 17:20:52] 当前点: 8.05095 -14.2666 -2.07503
[2026-07-05 17:20:52] 当前点: 7.98364 -14.3928 -2.06857
[2026-07-05 17:20:52] 当前点: 7.92059 -14.5151 -2.06415
[2026-07-05 17:20:52] 当前点: 7.85628 -14.6305 -2.03571
[2026-07-05 17:20:52] 当前点: 7.79582 -14.7533 -1.9825
[2026-07-05 17:20:52] 当前点: 7.74817 -14.8812 -1.9238
[2026-07-05 17:20:52] 当前点: 7.70477 -15.0117 -1.85645
[2026-07-05 17:20:53] 当前点: 7.67445 -15.1479 -1.78738
[2026-07-05 17:20:53] 当前点: 7.64764 -15.2825 -1.71836
[2026-07-05 17:20:53] 当前点: 7.63123 -15.4199 -1.64795
[2026-07-05 17:20:53] 当前点: 7.62456 -15.557 -1.57987
[2026-07-05 17:20:53] 当前点: 7.63078 -15.6959 -1.50884
[2026-07-05 17:20:53] 当前点: 7.64422 -15.8324 -1.44158
[2026-07-05 17:20:53] 当前点: 7.67674 -15.9705 -1.37139
[2026-07-05 17:20:53] 当前点: 7.70671 -16.1051 -1.29785
[2026-07-05 17:20:53] 当前点: 7.75211 -16.2359 -1.22801
[2026-07-05 17:20:53] 当前点: 7.80129 -16.3632 -1.15647
[2026-07-05 17:20:54] 当前点: 7.86072 -16.4846 -1.08647
[2026-07-05 17:20:54] 当前点: 7.92726 -16.6036 -1.01686
[2026-07-05 17:20:54] 当前点: 8.00259 -16.714 -0.946126
[2026-07-05 17:20:54] 当前点: 8.08419 -16.822 -0.876406
[2026-07-05 17:20:54] 当前点: 8.176 -16.9205 -0.806065
[2026-07-05 17:20:54] 当前点: 8.27258 -17.0168 -0.737554
[2026-07-05 17:20:54] 当前点: 8.37561 -17.0953 -0.663703
[2026-07-05 17:20:54] 当前点: 8.48398 -17.1765 -0.594388
[2026-07-05 17:20:54] 当前点: 8.59725 -17.2431 -0.522997
[2026-07-05 17:20:54] 当前点: 8.71653 -17.3092 -0.452752
[2026-07-05 17:20:55] 当前点: 8.83601 -17.3568 -0.381506
[2026-07-05 17:20:55] 当前点: 8.96181 -17.4056 -0.310679
[2026-07-05 17:20:55] 当前点: 9.08481 -17.4335 -0.238491
[2026-07-05 17:20:55] 当前点: 9.21546 -17.4633 -0.167877
[2026-07-05 17:20:55] 当前点: 9.34689 -17.48 -0.0969627
[2026-07-05 17:20:55] 当前点: 9.48153 -17.4898 -0.0287849
